Version Num, 1.00, 
Building Num, 1, 
Room Num, 7, 
Occupant Num, 9, 
Start Time, 2015-1-0, 
End Time, 2015-1-4, 
step,time,0,1,2,3,4,5,6,7,8,
0, 2015/1/1 0:0:00, 0,0,0,0,0,0,0,0,0,
1, 2015/1/1 0:20:00, 0,0,0,0,0,0,0,0,0,
2, 2015/1/1 0:40:00, 0,0,0,0,0,0,0,0,0,
3, 2015/1/1 1:0:00, 0,0,0,0,0,0,0,0,0,
4, 2015/1/1 1:20:00, 0,0,0,0,0,0,0,0,0,
5, 2015/1/1 1:40:00, 0,0,0,0,0,0,0,0,0,
6, 2015/1/1 2:0:00, 0,0,0,0,0,0,0,0,0,
7, 2015/1/1 2:20:00, 0,0,0,0,0,0,0,0,0,
8, 2015/1/1 2:40:00, 0,0,0,0,0,0,0,0,0,
9, 2015/1/1 3:0:00, 0,0,0,0,0,0,0,0,0,
10, 2015/1/1 3:20:00, 0,0,0,0,0,0,0,0,0,
11, 2015/1/1 3:40:00, 0,0,0,0,0,0,0,0,0,
12, 2015/1/1 4:0:00, 0,0,0,0,0,0,0,0,0,
13, 2015/1/1 4:20:00, 0,0,0,0,0,0,0,0,0,
14, 2015/1/1 4:40:00, 0,0,0,0,0,0,0,0,0,
15, 2015/1/1 5:0:00, 0,0,0,0,0,0,0,0,0,
16, 2015/1/1 5:20:00, 0,0,0,0,0,0,0,0,0,
17, 2015/1/1 5:40:00, 0,0,0,0,0,0,0,0,0,
18, 2015/1/1 6:0:00, 0,0,0,0,0,0,0,0,0,
19, 2015/1/1 6:20:00, 0,0,0,0,0,0,0,0,0,
20, 2015/1/1 6:40:00, 0,0,0,0,0,0,0,0,0,
21, 2015/1/1 7:0:00, 0,0,0,0,0,0,0,0,0,
22, 2015/1/1 7:20:00, 0,0,0,0,0,0,0,0,0,
23, 2015/1/1 7:40:00, 0,0,0,0,0,0,0,0,0,
24, 2015/1/1 8:0:00, 0,0,0,0,0,0,0,0,0,
25, 2015/1/1 8:20:00, 0,0,0,2,0,0,0,0,0,
26, 2015/1/1 8:40:00, 0,0,0,0,0,0,0,0,0,
27, 2015/1/1 9:0:00, 0,0,0,2,0,2,0,3,0,
28, 2015/1/1 9:20:00, 0,0,0,2,0,0,3,3,0,
29, 2015/1/1 9:40:00, 1,1,1,2,2,2,3,3,2,
30, 2015/1/1 10:0:00, 1,0,1,0,0,2,6,3,3,
31, 2015/1/1 10:20:00, 4,1,0,2,2,2,3,3,3,
32, 2015/1/1 10:40:00, 1,1,1,2,2,0,3,3,6,
33, 2015/1/1 11:0:00, 5,0,0,5,5,5,5,5,5,
34, 2015/1/1 11:20:00, 6,1,1,1,7,7,7,1,1,
35, 2015/1/1 11:40:00, 1,1,0,0,0,0,3,3,0,
36, 2015/1/1 12:0:00, 4,1,0,2,2,2,3,2,0,
37, 2015/1/1 12:20:00, 1,0,0,2,2,0,0,3,3,
38, 2015/1/1 12:40:00, 1,0,0,0,0,0,3,3,3,
39, 2015/1/1 13:0:00, 4,0,1,2,2,2,3,3,3,
40, 2015/1/1 13:20:00, 1,0,1,2,2,0,3,4,4,
41, 2015/1/1 13:40:00, 1,1,0,2,2,2,3,3,3,
42, 2015/1/1 14:0:00, 1,1,1,0,0,2,7,7,3,
43, 2015/1/1 14:20:00, 1,1,0,2,2,0,3,3,3,
44, 2015/1/1 14:40:00, 5,5,5,5,5,5,5,5,5,
45, 2015/1/1 15:0:00, 5,5,5,5,5,5,5,5,5,
46, 2015/1/1 15:20:00, 5,5,5,5,5,5,5,5,5,
47, 2015/1/1 15:40:00, 3,4,2,4,1,6,7,3,6,
48, 2015/1/1 16:0:00, 5,5,5,5,5,5,5,5,5,
49, 2015/1/1 16:20:00, 3,2,4,2,6,4,1,2,7,
50, 2015/1/1 16:40:00, 0,6,0,2,0,0,7,4,3,
51, 2015/1/1 17:0:00, 5,5,5,5,5,5,5,5,5,
52, 2015/1/1 17:20:00, 5,5,5,5,5,5,5,5,5,
53, 2015/1/1 17:40:00, 6,4,7,2,4,7,1,2,7,
54, 2015/1/1 18:0:00, 1,0,0,0,0,0,6,7,3,
55, 2015/1/1 18:20:00, 0,0,0,0,0,0,0,0,0,
56, 2015/1/1 18:40:00, 0,0,0,0,0,0,0,0,0,
57, 2015/1/1 19:0:00, 0,0,0,0,0,0,0,0,0,
58, 2015/1/1 19:20:00, 0,0,0,0,0,0,0,0,0,
59, 2015/1/1 19:40:00, 0,0,0,0,0,0,0,0,0,
60, 2015/1/1 20:0:00, 0,0,0,0,0,0,0,0,0,
61, 2015/1/1 20:20:00, 0,0,0,0,0,0,0,0,0,
62, 2015/1/1 20:40:00, 0,0,0,0,0,0,0,0,0,
63, 2015/1/1 21:0:00, 0,0,0,0,0,0,0,0,0,
64, 2015/1/1 21:20:00, 0,0,0,0,0,0,0,0,0,
65, 2015/1/1 21:40:00, 0,0,0,0,0,0,0,0,0,
66, 2015/1/1 22:0:00, 0,0,0,0,0,0,0,0,0,
67, 2015/1/1 22:20:00, 0,0,0,0,0,0,0,0,0,
68, 2015/1/1 22:40:00, 0,0,0,0,0,0,0,0,0,
69, 2015/1/1 23:0:00, 0,0,0,0,0,0,0,0,0,
70, 2015/1/1 23:20:00, 0,0,0,0,0,0,0,0,0,
71, 2015/1/1 23:40:00, 0,0,0,0,0,0,0,0,0,
